
发现更新， lowest_score= 643 ,在第449个学校,中国人民大学,天津,2015,literature,diyipi
发现更新， lowest_score= 671 ,在第450个学校,中国人民大学,天津,2015,science,diyipi
发现更新， lowest_score= 344 ,在第460个学校,中国人民大学,江苏,2015,science,diyipi
发现更新， lowest_score= 662 ,在第464个学校,中国人民大学,福建,2015,science,diyipi
发现更新， lowest_score= 682 ,在第466个学校,中国人民大学,山东,2015,science,diyipi
发现更新， lowest_score= 672 ,在第472个学校,中国人民大学,广东,2015,science,diyipi
发现更新， lowest_score= 674 ,在第474个学校,中国人民大学,重庆,2015,science,diyipi
发现更新， lowest_score= 627 ,在第475个学校,中国人民大学,四川,2015,literature,diyipi
发现更新， lowest_score= 644 ,在第476个学校,中国人民大学,四川,2015,science,diyipi
发现更新， lowest_score= 633 ,在第477个学校,中国人民大学,陕西,2015,literature,diyipi
发现更新， lowest_score= 666 ,在第478个学校,中国人民大学,陕西,2015,science,diyipi
发现更新， lowest_score= 619 ,在第479个学校,中国人民大学,甘肃,2015,literature,diyipi
发现更新， lowest_score= 620 ,在第480个学校,中国人民大学,甘肃,2015,science,diyipi
发现更新， lowest_score= 635 ,在第484个学校,中国人民大学,内蒙古,2015,science,diyipi
发现更新， lowest_score= 603 ,在第485个学校,中国人民大学,河南,2015,literature,diyipi
发现更新， lowest_score= 655 ,在第486个学校,中国人民大学,河南,2015,science,diyipi
发现更新， lowest_score= 845 ,在第487个学校,中国人民大学,海南,2015,literature,diyipi
发现更新， lowest_score= 827 ,在第488个学校,中国人民大学,海南,2015,science,diyipi
发现更新， lowest_score= 642 ,在第490个学校,中国人民大学,广西,2015,science,diyipi
发现更新， lowest_score= 657 ,在第493个学校,中国人民大学,云南,2015,literature,diyipi
发现更新， lowest_score= 595 ,在第497个学校,中国人民大学,青海,2015,literature,diyipi
发现更新， lowest_score= 607 ,在第498个学校,中国人民大学,青海,2015,science,diyipi
发现更新， lowest_score= 604 ,在第503个学校,中国人民大学,江西,2015,literature,diyipi
发现更新， lowest_score= 658 ,在第504个学校,中国人民大学,江西,2015,science,diyipi
发现更新， ,avg_score= 623 ,在第511个学校,中国人民大学,辽宁,2016,literature,diyipi
发现更新， ,avg_score= 672 ,在第517个学校,中国人民大学,吉林,2016,science,diyipi
发现更新， ,avg_score= 611 ,在第519个学校,中国人民大学,黑龙江,2016,literature,diyipi
发现更新， ,avg_score= 670 ,在第521个学校,中国人民大学,黑龙江,2016,science,diyipi
发现更新， ,avg_score= 501 ,在第523个学校,中国人民大学,上海,2016,literature,diyipi
发现更新， ,avg_score= 504 ,在第524个学校,中国人民大学,上海,2016,science,diyipi
发现更新， ,avg_score= 395 ,在第525个学校,中国人民大学,江苏,2016,literature,diyipi
发现更新， ,avg_score= 398 ,在第526个学校,中国人民大学,江苏,2016,science,diyipi
发现更新， ,avg_score= 768 ,在第527个学校,中国人民大学,浙江,2016,literature,diyipi
发现更新， ,avg_score= 790 ,在第529个学校,中国人民大学,浙江,2016,science,diyipi
发现更新， ,avg_score= 607 ,在第535个学校,中国人民大学,福建,2016,literature,diyipi
发现更新， highest_score= 639 ,在第539个学校,中国人民大学,山东,2016,literature,diyipi
发现更新， ,avg_score= 683  ,highest_score= 698 ,在第541个学校,中国人民大学,山东,2016,science,diyipi
发现更新， ,avg_score= 594 ,在第568个学校,中国人民大学,山西,2016,literature,diyipi
发现更新， ,avg_score= 649 ,在第569个学校,中国人民大学,山西,2016,science,diyipi
发现更新， ,avg_score= 819 ,在第574个学校,中国人民大学,海南,2016,literature,diyipi
发现更新， ,avg_score= 802 ,在第575个学校,中国人民大学,海南,2016,science,diyipi
发现更新， highest_score= 680 ,在第578个学校,中国人民大学,贵州,2016,literature,diyipi
发现更新， highest_score= 682 ,在第579个学校,中国人民大学,贵州,2016,science,diyipi
发现更新， highest_score= 677 ,在第580个学校,中国人民大学,云南,2016,literature,diyipi
发现更新， highest_score= 697 ,在第581个学校,中国人民大学,云南,2016,science,diyipi
发现更新， ,avg_score= 601 ,在第588个学校,中国人民大学,新疆,2016,literature,diyipi
发现更新， ,avg_score= 648 ,在第589个学校,中国人民大学,新疆,2016,science,diyipi
发现更新， lowest_score= 670 ,在第766个学校,清华大学,北京,2014,literature,diyipi
发现更新， lowest_score= 682 ,在第768个学校,清华大学,北京,2014,science,diyipi
发现更新， lowest_score= 653 ,在第770个学校,清华大学,天津,2014,literature,diyipi
发现更新， lowest_score= 686 ,在第771个学校,清华大学,天津,2014,science,diyipi
发现更新， lowest_score= 654 ,在第772个学校,清华大学,辽宁,2014,literature,diyipi
发现更新， lowest_score= 683 ,在第773个学校,清华大学,辽宁,2014,science,diyipi
发现更新， lowest_score= 662 ,在第774个学校,清华大学,吉林,2014,literature,diyipi
发现更新， lowest_score= 697 ,在第775个学校,清华大学,吉林,2014,science,diyipi
发现更新， lowest_score= 664 ,在第776个学校,清华大学,黑龙江,2014,literature,diyipi
发现更新， lowest_score= 690 ,在第777个学校,清华大学,黑龙江,2014,science,diyipi
发现更新， lowest_score= 529 ,在第778个学校,清华大学,上海,2014,literature,diyipi
发现更新， lowest_score= 533 ,在第779个学校,清华大学,上海,2014,science,diyipi
发现更新， lowest_score= 399 ,在第780个学校,清华大学,江苏,2014,literature,diyipi
发现更新， lowest_score= 404 ,在第781个学校,清华大学,江苏,2014,science,diyipi
发现更新， lowest_score= 720 ,在第782个学校,清华大学,浙江,2014,literature,diyipi
